Row,LigninContent,SGratio,Ssubunits,Gsubunits,Hsubunits,PBcontent,CLratio,Aldehydes,betaO4,beta5,betabeta,beta1,Endgroups,HeightRate,DiameterRate,VolumeRate,Glucose,Xylose,TotalSugar,Relativedensity,MOE,Glucoseunpretreated,Xyloseunpretreated,Glucosepretreated,Xylosepretreated
NSF3_i33.10.2,22.72678401,,,,,,3.2637089639999997,,,,,,,83.0,0.11,56.01344366,50.51792612,20.22923522,74.1736087,0.35059,3190.14,20.37316412,5.102516178999999,39.31535105,41.13057123
NSF3_i33.10.3,20.70067719,,,,,,3.696195992,,,,,,,78.33,0.08,43.52775268,53.21918755,19.33410954,76.51376008,0.36355,3336.52,24.65313847,5.336682292,44.10871545,36.97299835
NSF3_i35.01.1,20.17695594,2.0,66.5,33.3,0.3,4.7,3.301019142,22.8,95.1,1.4,2.2,1.2,4.9,62.0,0.13,33.95892798,43.138135600000005,18.4217267,66.60451779,0.36766,2342.89,21.51205626,10.87900191,54.14744906,61.66142938
NSF3_i35.01.2,22.56457615,,,,,,2.952274515,,,,,,,56.0,0.12,37.73961326,43.5233117,18.458239000000003,66.6168231,0.35586999999999996,2088.67,20.23720084,12.90751518,56.69145806,63.85766269
NSF3_i35.01.3,20.07825984,,,,,,3.2497608110000002,,,,,,,67.0,0.1,36.34077358,42.018201700000006,18.7068533,65.24954198,0.40352,1919.02,15.770784400000002,12.809743899999999,53.36592023,64.86392877
NSF3_i35.07.1,13.75225428,3.02,73.1,24.2,2.7,14.8,5.091723055,30.4,95.8,1.5,1.5,1.2,4.6,29.0,0.08,14.60542133,45.7181416,20.0797861,70.02267018,0.27876999999999996,770.97,60.58054643,65.44741032,77.38612892,79.72246278
NSF3_i35.07.2,19.10219886,,,,,,3.7317267530000002,,,,,,,24.2,0.06,10.36380001,46.111039399999996,19.697827899999997,71.28418652,0.24211,381.97,55.43401392,60.96052855,75.26809296,79.76057096
NSF3_i35.07.3,14.4900466,,,,,,4.800028177,,,,,,,27.0,0.09,14.14770267,45.7645998,19.642912,69.55263196,0.25578,640.34,63.09396373,67.25326673,81.68016363,83.83634769
NSF3_i35.15.1,22.2406978,,,,,,3.0044131910000003,,,,,,,82.66,0.17,62.54200856,45.270089,16.2572902,66.82024584,0.33906,2377.67,19.96351277,16.58271438,57.69593252,77.78233546
NSF3_i35.15.2,21.60295456,,,,,,3.102902549,,,,,,,92.67,0.18,58.89774184,45.352486799999994,16.228691199999997,67.03186276,0.34697,2682.03,16.74197059,12.93819677,52.48422232,75.68077948
